gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
Ccl24,0.0,0.00080501044,0.00017540721,0.00056661793,0.716767,0.34551734,0.01849896,0.028013054,0.0,0.00064108876,0.0,0.0019490327,0.014975037,0.0,0.0,0.0037549194,0.00040782074,0.00051958853,0.0,0.0
Csf1,0.19034916,0.18864417,0.25656927,0.18806837,0.059689175,0.11869275,0.3112596,0.36846304,0.038078867,0.046666134,0.059012238,0.06655337,0.21542634,0.2618218,0.28572428,0.34649327,0.11532026,0.07415681,0.04661602,0.04827526
Olr1,0.0,0.0,0.0,2.7089962e-05,0.0,0.01706151,0.0041077463,0.0044345357,0.0,7.994497e-05,0.0,0.0009410046,0.0,0.0,0.0,0.00016814415,0.0,0.00018302294,0.0,0.0
Ctsd,1.3168641,1.4047904,0.7849379,0.85580224,1.359688,2.0165668,3.2720737,3.9346235,2.1801229,2.315538,0.62151414,0.7447814,0.9347353,1.0294797,0.78570014,0.87580585,0.6651653,0.7201129,0.99412453,0.99052626
Sparc,1.912358,1.9047254,2.557438,1.9416108,0.37724683,0.30584252,3.1351671,2.1192508,1.291093,1.1144001,0.3648516,0.5562862,1.1861893,1.3666131,0.3842101,0.68738925,2.4035554,2.0550966,0.23674563,0.312513
Clcf1,0.029937955,0.035703965,0.0034077785,0.003953608,0.022409674,0.035191037,0.095760524,0.06743536,0.00051294605,0.002249688,0.0009970209,0.0024756163,0.0047523193,0.007987772,0.00068737555,0.0021624037,0.010467663,0.011855546,0.10265185,0.10498738
Nudt16,0.08905451,0.09039123,0.066799864,0.058963615,0.13857603,0.08962735,0.044659223,0.048001595,0.08642026,0.060291886,0.104283206,0.081951275,0.11199306,0.08120179,0.12915964,0.10201519,0.09253186,0.07360385,0.0649386,0.11552048
Gapdh,1.7802656,1.9960403,1.085469,1.1571383,1.4319285,1.9168332,1.1728415,2.0896251,2.4999495,2.4544213,1.6505712,2.2873192,1.67538,1.5955478,1.9979936,2.0473883,1.7227786,1.7525728,1.7674756,1.8045663
C3,0.12633456,0.20136805,0.0016668149,0.0013617121,0.10863257,0.1929576,0.0,0.012384953,0.0,0.0027076772,0.0047516576,0.003957556,0.009566256,0.02402905,0.0,0.0016239733,0.00081198127,0.0009009717,0.0,0.007535405
Ptgs2,0.0131487325,0.035819154,0.107549295,0.21675263,0.127657,0.17007804,0.05987617,0.10701999,0.00261711,0.018287946,0.01616118,0.088420875,0.06151041,0.17793559,0.0048319027,0.047309525,0.036570027,0.04998404,0.025590975,0.15053912
Cd163,0.0053782,0.00054212974,0.00021176641,0.00056544226,0.5019014,0.31884053,0.0095997425,0.0037601674,0.0,0.00012982382,0.0,0.002563319,0.0,0.0,0.0,0.00295214,0.0062335487,0.0034427235,0.0,0.0
Lcn2,0.009089997,0.17697947,0.0722506,0.39034882,0.40049604,0.85302263,0.007943127,0.07985845,0.0014356977,0.06619122,0.0,0.118048675,0.0071709,0.17675795,0.0045347237,0.18124962,0.014813236,0.06437614,0.0,0.17725967
Pfkl,0.34209347,0.33743283,0.3251003,0.35780668,0.12914062,0.15801707,0.23307379,0.26555803,0.3588581,0.35170454,0.380852,0.47194618,0.18226501,0.15349664,0.13742697,0.1361877,0.32013467,0.31888208,0.16293684,0.13860336
Iigp1,0.110075034,0.06560245,0.6785105,0.39298245,0.09515963,0.05638518,0.13935694,0.048836403,0.032295566,0.024217898,0.07105265,0.030874556,0.048235968,0.058706693,0.036791902,0.05451588,0.22690073,0.11207677,0.038603704,0.10735327
Hmox1,0.07173235,0.17776366,0.061992656,0.06823587,0.5730614,0.97033817,0.22182944,0.55112785,0.13370334,0.09109522,0.024568751,0.06623258,0.18654683,0.20639604,0.055280454,0.07869826,0.026466016,0.037658717,0.024348175,0.04868293
Parp2,0.1543559,0.1233907,0.15746114,0.11898948,0.17948362,0.13091461,0.11174584,0.13478918,0.0855261,0.057407048,0.19781111,0.14568797,0.19271684,0.12369997,0.08059972,0.073023126,0.16174062,0.12502143,0.162448,0.11982533
Fkbp5,0.18045579,0.31029478,0.011693881,0.05882981,0.08097938,0.19485365,0.082422234,0.17184657,0.009682744,0.029695692,0.045895673,0.14667825,0.072609454,0.17483127,0.01816103,0.15592568,0.014342074,0.04685668,0.08749578,0.0914656
Itgax,0.0,0.00044337029,0.0,0.0003817604,0.024898762,0.084223576,0.0,0.035553146,0.0,0.00015326704,0.0,0.0006100877,0.0,0.0,0.0,0.00036420164,0.0,0.00019633073,0.050496567,0.04872359
Oasl2,0.46699807,0.1787963,1.0437037,0.38411954,0.8975378,0.3282897,0.21004154,0.07700571,0.037282337,0.023793787,0.084746934,0.043641683,0.21204562,0.09884209,0.059083004,0.046329994,0.34821862,0.097115114,0.08727267,0.07817708
Mif,1.0599202,1.1911714,0.5068237,0.5964695,0.6282645,0.85389376,0.46793938,1.0605234,1.4924549,1.8714051,0.89599353,1.3258014,1.3753651,1.1782142,1.4615269,1.4059275,0.83813214,0.84492415,1.1236515,1.0751309
Aifm1,0.16542321,0.17318262,0.13983774,0.09041875,0.08938123,0.070502296,0.13504735,0.08997682,0.52807355,0.41672936,0.20908098,0.14618169,0.17251961,0.1250183,0.15461588,0.13908815,0.13380778,0.10363466,0.11896577,0.09521077
Ccl2,0.0026066287,0.034929544,0.0014264701,0.00821777,0.9962216,0.79243916,0.28144655,0.78873146,0.00075349124,0.020412544,0.004286029,0.017690789,0.06395693,0.24218339,0.0028829547,0.022684623,0.009690741,0.031564645,0.0,0.0
Mx1,0.018877763,0.009429531,0.029164406,0.006182742,0.15981573,0.054002937,0.067336135,0.03500113,0.002068014,0.0017128281,0.01598181,0.00037299545,0.0,0.0011414881,0.002017977,0.0015417122,0.010631035,0.0017927411,0.10456124,0.090479404
Gas6,0.8704921,0.9415263,0.74275017,0.60702413,1.0435631,0.60272795,0.4037114,0.70431733,1.7798824,1.5113717,0.33822703,0.32913217,0.38782588,0.30233386,0.0889695,0.17384376,0.54406136,0.39001074,0.10092302,0.07495029
Fth1,3.3577075,3.8078341,2.8565586,3.2539148,4.1963987,4.6071625,3.494786,4.1946197,3.7811196,3.7091053,2.556477,3.0884888,2.657855,3.1631374,5.3197355,5.5779486,3.4850795,3.512854,3.348156,3.259899
Axl,0.09754176,0.14699215,0.010303051,0.0067900317,0.11083346,0.13460736,0.01816073,0.076330215,0.037142586,0.039144,0.028145019,0.018070975,0.17769979,0.24942501,0.011922315,0.031989362,0.56163615,0.6540771,0.049067065,0.037989743
B3gnt5,0.005064073,0.0045332257,0.0007774592,0.00050449115,0.066760056,0.14096719,0.0,0.0020768924,0.0,0.00056605926,0.088295,0.07653076,0.07007709,0.043321166,0.002363041,0.0036941313,0.014587213,0.0150927715,0.0283495,0.03441965
Gpr34,0.0,0.005162483,0.0045937956,0.008250295,0.1930538,0.14286916,1.5307442,1.4073269,0.0021946817,0.008645042,0.002541368,0.009823061,0.004208601,0.010543618,0.0019559911,0.008888518,0.004517369,0.01101505,0.015430082,0.059156254
Spp1,0.2509024,0.38217983,0.0027336488,0.026746813,0.061172895,0.7536787,0.017621553,0.6499598,0.0005818741,0.029929493,0.0074322564,0.05927765,0.52108455,1.0286016,0.00247289,0.065133594,0.05868161,0.28891963,0.0,0.031180168
Ggta1,0.07095447,0.09275181,0.09660403,0.09985613,0.11834393,0.12572354,0.10032322,0.11034663,0.0023100805,0.008554981,0.0064281393,0.021269271,0.021406494,0.030070346,0.006749261,0.017509205,0.16810845,0.18052307,0.0,0.06245683
Pfkm,0.32817638,0.27543452,0.074713565,0.05871048,0.028656455,0.021506632,0.016438056,0.019999733,0.24882717,0.22116913,0.3354176,0.4013142,0.23504616,0.14738393,0.020656802,0.03482881,0.08003287,0.07878867,0.011420721,0.007313408
Tgfb1,0.10000129,0.12766127,0.44884738,0.39191103,0.91280425,0.65632683,0.914796,0.91421115,0.021801874,0.0476598,0.04761178,0.102811895,0.112995334,0.16575044,0.045312725,0.07528075,0.34625357,0.34615928,0.64366364,0.48104456
P2ry12,0.002189598,0.020105558,0.003707664,0.005350294,0.22439717,0.11304271,2.0873084,1.1182117,0.0017947042,0.013339444,0.0029046102,0.008302163,0.009937382,0.009399288,0.0047490234,0.009243474,0.0062474003,0.007468782,0.0,0.016701559
H2-Aa,0.08520105,0.080388635,0.0058425143,0.010735443,0.6945719,0.8752345,0.026873926,0.011368219,0.00033923003,0.0032223393,0.0068553197,0.0016680001,0.0,0.00170396,0.0010629672,0.010321709,9.6552314e-05,0.003429825,0.0,0.0012501108
Cd80,0.010072257,0.031137576,0.00016038312,0.0003539261,0.049841575,0.10992687,0.055553854,0.034975145,0.00032524407,0.0009955704,0.0,0.00040152032,0.0,0.00085018505,0.0,0.0023227818,0.01634761,0.028976206,0.0,0.0
Ccl4,0.008229451,0.053847637,0.0026612927,0.030123126,0.40321022,0.64069253,1.1128123,1.8637856,0.0016175121,0.04265375,0.006638245,0.054238155,0.0,0.04818902,0.0021911287,0.051304482,0.0030577697,0.03168172,1.6816101,0.99561006
Ldha,0.6560368,0.86095273,1.024744,1.2415274,0.68843734,1.0212214,0.4738099,0.92235917,1.1770952,1.2437915,0.7264611,0.9880998,0.8987357,0.78396475,0.2433964,0.43319413,1.0286536,1.035146,1.3571362,1.1494606
Il12b,0.0,0.00084861374,0.0,8.4491556e-05,0.012147348,0.016708657,0.01908704,0.059638366,0.0,0.0003954641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anxa1,0.5930757,0.7618004,0.070988655,0.06124384,0.41288462,0.6756223,0.008079729,0.011994793,0.0055956594,0.01216043,0.006462702,0.038991638,0.03687925,0.149927,0.008698564,0.042158984,0.27756628,0.2925213,0.2330264,0.17239064
Psmb8,0.17249995,0.16252063,1.1306335,0.73957115,1.4755232,1.15262,0.6828545,0.84191185,0.06837592,0.06861724,0.121850684,0.12980977,0.32740772,0.24046688,0.07422246,0.12040416,0.411456,0.18686499,1.958845,1.6906261
Serpina3n,0.037855137,0.3448166,0.00054555404,0.030377917,0.0,0.041720685,0.0,0.020403508,0.0,0.021814788,0.014378234,0.12290656,0.09324139,0.4762096,0.01158704,0.4132992,0.0013483288,0.0066019986,0.0,0.018348068
Olfml3,0.056496236,0.124789365,0.0032279335,0.010906248,0.06702265,0.11907519,1.7860122,1.7095965,0.0072178943,0.023794213,0.015996443,0.031128662,0.39351124,0.579662,0.0045865225,0.016832951,0.04248856,0.043595433,0.0,0.002401394
Pkm,1.3334916,1.4394745,1.1162992,1.1225965,0.8941955,1.3493491,0.7548281,1.2261485,1.9010174,1.710985,1.3190774,1.7839254,1.2204987,1.0720692,0.8638644,0.8868074,1.3002391,1.2238443,0.74881965,1.039827
