"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","timepoint","cell_type"
0.491027606285815,-0.428178451408209,0.096,0.106,1,"Mtch1","D7","Endothelial"
0.494175333912439,-0.230247852443175,0.327,0.323,1,"Nostrin","D7","Endothelial"
0.495792326524491,-0.0946916326803988,0.233,0.206,1,"Rab2a","D7","Endothelial"
0.496622336258736,-0.125344781920034,0.36,0.306,1,"Pakap.1","D7","Endothelial"
0.496662686174726,-0.12352799327412,0.12,0.104,1,"Ntrk2","D7","Endothelial"
0.498638421691478,-0.107067783588569,0.238,0.211,1,"Ctnna1","D7","Endothelial"
0.49880447674075,-0.211581838731484,0.147,0.128,1,"Ccnl2","D7","Endothelial"
0.500393621735569,0.0363097582395254,0.146,0.13,1,"Tiam1","D7","Endothelial"
0.500943543741094,-0.0283373927337159,0.15,0.132,1,"5330438D12Rik","D7","Endothelial"
0.501664888748974,-0.0363246710337528,0.107,0.094,1,"Cep85l","D7","Endothelial"
0.501813383906074,-0.117834747218814,0.106,0.091,1,"Nr2c2","D7","Endothelial"
0.502605187719059,-0.0638527870088802,0.133,0.117,1,"Gm49417","D7","Endothelial"
0.503381828628609,-0.394658178401686,0.183,0.189,1,"Nrd1","D7","Endothelial"
0.503632086608783,-0.0655516435729015,0.103,0.089,1,"Dnajc10","D7","Endothelial"
0.503681474117175,-0.451106866585414,0.102,0.111,1,"Celf4","D7","Endothelial"
0.505265509670358,0.0138104041092789,0.123,0.109,1,"Ivns1abp","D7","Endothelial"
0.505706522499185,-0.105566761546935,0.124,0.109,1,"Ndufs4","D7","Endothelial"
0.50583547369212,-0.0672110081441244,0.23,0.202,1,"Lrp1b","D7","Endothelial"
0.506054290181675,-0.0847570143002232,0.236,0.211,1,"Esam","D7","Endothelial"
0.506581733069576,-0.376769223315429,0.155,0.164,1,"Akap12","D7","Endothelial"
0.507050384067367,-0.113571310378236,0.217,0.191,1,"Nsf","D7","Endothelial"
0.507106815833696,-0.181122378288262,0.202,0.177,1,"Mark3","D7","Endothelial"
0.507735443611113,-0.501424180802046,0.118,0.126,1,"Tspan7","D7","Endothelial"
0.51274633673893,-0.100172456911468,0.15,0.132,1,"Sec14l1","D7","Endothelial"
0.513402309334482,-0.139322703854655,0.115,0.1,1,"Arhgdia","D7","Endothelial"
0.51372703563838,-0.0151960537020324,0.107,0.094,1,"Arap3","D7","Endothelial"
0.514098662804944,-0.223633101983846,0.147,0.128,1,"Top2b","D7","Endothelial"
0.515390997468412,-0.223607233111101,0.285,0.287,1,"Srrm2","D7","Endothelial"
0.515798028640634,0.00953836449230616,0.296,0.27,1,"Akt3","D7","Endothelial"
0.516264589456795,-0.0236798216434209,0.416,0.37,1,"Esyt2","D7","Endothelial"
0.516292225387315,-0.23748914467864,0.13,0.113,1,"Ubn1","D7","Endothelial"
0.516526844223151,-0.274109684759123,0.09,0.1,1,"Ppp1r9a","D7","Endothelial"
0.517755008999369,-0.0358274023762943,0.323,0.287,1,"Rpl37a","D7","Endothelial"
0.519172602395058,0.0329552099843017,0.127,0.113,1,"Supt20","D7","Endothelial"
0.520412949339202,-0.0394646268073648,0.41,0.364,1,"Rapgef4","D7","Endothelial"
0.520538889164536,-0.29525365278449,0.098,0.109,1,"Pnkd","D7","Endothelial"
0.522004708043086,-0.379132542727291,0.185,0.189,1,"Atp5l","D7","Endothelial"
0.52291370565642,-0.407232957543108,0.11,0.119,1,"Cacna2d1","D7","Endothelial"
0.523832444639108,-0.132407369738918,0.229,0.202,1,"Dgkh","D7","Endothelial"
0.524013987874024,-0.00422553143273341,0.123,0.109,1,"Sipa1","D7","Endothelial"
0.52478679501598,-0.362018348351792,0.224,0.226,1,"Atp5b","D7","Endothelial"
0.525953805165471,-0.296220819473965,0.122,0.132,1,"Axin2","D7","Endothelial"
0.526324455215964,-0.502992302357018,0.131,0.138,1,"Psma3","D7","Endothelial"
0.528074804664887,-0.203567953648359,0.364,0.357,1,"Eif1","D7","Endothelial"
0.529612067325785,-0.270349240121175,0.118,0.102,1,"Xrn2","D7","Endothelial"
0.530561224547535,-0.0535271232594448,0.407,0.353,1,"Sparc","D7","Endothelial"
0.531797541426745,-0.174342179214521,0.232,0.204,1,"Bptf","D7","Endothelial"
0.53221094818152,-0.207023522216038,0.129,0.113,1,"Cd47","D7","Endothelial"
0.532274689366189,-0.0714294583490387,0.198,0.177,1,"Opcml","D7","Endothelial"
0.534067053948916,-0.0605784388303168,0.158,0.14,1,"Net1","D7","Endothelial"
0.534587601066005,-0.46344718438149,0.107,0.115,1,"Rrp1","D7","Endothelial"
0.536246140956562,-0.165935472087509,0.205,0.181,1,"Trip12","D7","Endothelial"
