"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0.672759413285474,-0.0911442435643144,0.547,0.514,1,"Dtx3","Pericyte","MCAO_vs_Sham"
0.67384326161819,-0.171266124157678,0.148,0.156,1,"Rhot1","Pericyte","MCAO_vs_Sham"
0.674080552978138,0.0560473672305107,0.177,0.193,1,"Slc12a2","Pericyte","MCAO_vs_Sham"
0.674624705993227,0.0580158438053926,0.632,0.626,1,"Slc25a3","Pericyte","MCAO_vs_Sham"
0.674641822887774,-0.222773057297635,0.098,0.106,1,"Fbln1","Pericyte","MCAO_vs_Sham"
0.674928142415975,-0.263656603277171,0.102,0.109,1,"Tmem237","Pericyte","MCAO_vs_Sham"
0.674958966105794,-0.128225169396208,0.161,0.171,1,"1810022K09Rik","Pericyte","MCAO_vs_Sham"
0.675214021017092,-0.0475246554249416,0.487,0.452,1,"Timm13","Pericyte","MCAO_vs_Sham"
0.675778682889594,-0.13612365878579,0.132,0.118,1,"Rpf1","Pericyte","MCAO_vs_Sham"
0.676448606181958,0.035230391501599,0.269,0.259,1,"Drg1","Pericyte","MCAO_vs_Sham"
0.676901658945883,-0.159778641395776,0.142,0.128,1,"Yae1d1","Pericyte","MCAO_vs_Sham"
0.676929129572736,0.012990530418003,0.187,0.174,1,"Timm17b","Pericyte","MCAO_vs_Sham"
0.677164743844406,0.0502463148015529,0.172,0.162,1,"Mmadhc","Pericyte","MCAO_vs_Sham"
0.677329161075493,-0.175498568521685,0.273,0.277,1,"Stx4a","Pericyte","MCAO_vs_Sham"
0.677400111929237,-0.0599406744190838,0.129,0.118,1,"Ap1m1","Pericyte","MCAO_vs_Sham"
0.677610358339322,0.16253154198881,0.171,0.162,1,"Chka","Pericyte","MCAO_vs_Sham"
0.677642347143184,-0.152658390429921,0.117,0.125,1,"Pyurf","Pericyte","MCAO_vs_Sham"
0.67777721905573,-0.0718641411064518,0.212,0.196,1,"Cttn","Pericyte","MCAO_vs_Sham"
0.678015050202326,0.0781980297523184,0.121,0.112,1,"Smek2","Pericyte","MCAO_vs_Sham"
0.67904599619149,-0.0624995998642666,0.51,0.511,1,"Atp6v0b","Pericyte","MCAO_vs_Sham"
0.679196083039155,0.0668450057326486,0.128,0.14,1,"Zmynd8","Pericyte","MCAO_vs_Sham"
0.679514744961489,-0.0520149132458549,0.091,0.1,1,"Inpp5b","Pericyte","MCAO_vs_Sham"
0.67990338466462,-0.126334684354055,0.104,0.112,1,"Cox19","Pericyte","MCAO_vs_Sham"
0.680437072517145,-0.0218152986655612,0.261,0.274,1,"Rchy1","Pericyte","MCAO_vs_Sham"
0.681068358215076,0.063985939856162,0.114,0.106,1,"Zrsr2","Pericyte","MCAO_vs_Sham"
0.681724801444341,0.0552166494645284,0.182,0.193,1,"Nek7","Pericyte","MCAO_vs_Sham"
0.682291153326,-0.205369493050244,0.135,0.143,1,"Slu7","Pericyte","MCAO_vs_Sham"
0.682758251852138,-0.0697420522460315,0.408,0.411,1,"Lamtor2","Pericyte","MCAO_vs_Sham"
0.683444995716811,-0.099876844469271,0.287,0.299,1,"Nono","Pericyte","MCAO_vs_Sham"
0.684181685266064,-0.123832149135324,0.208,0.19,1,"Mrpl32","Pericyte","MCAO_vs_Sham"
0.684263730212192,0.0833354920405038,0.114,0.106,1,"Tmem199","Pericyte","MCAO_vs_Sham"
0.684506422451007,-0.114532212831647,0.217,0.224,1,"Map2k1","Pericyte","MCAO_vs_Sham"
0.684695512053685,-0.0229041980468829,0.587,0.604,1,"Atpif1","Pericyte","MCAO_vs_Sham"
0.685884024663279,-0.251990064524621,0.155,0.162,1,"Actr1b","Pericyte","MCAO_vs_Sham"
0.686545560471586,-0.00204569047326641,0.162,0.15,1,"Coq2","Pericyte","MCAO_vs_Sham"
0.686818590267536,-0.13843606734307,0.214,0.221,1,"Dram2","Pericyte","MCAO_vs_Sham"
0.686941820221503,0.0126915973684283,0.097,0.106,1,"Pik3c2a","Pericyte","MCAO_vs_Sham"
0.687545457102466,-0.306363647760094,0.182,0.184,1,"Clns1a","Pericyte","MCAO_vs_Sham"
