"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Pld5","PLD5",2.51440310423891,0.00476659371520515,0.0203393454415751,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Dcn","DCN",2.5134927291301,4.72218569309268e-20,6.24337833621108e-18,"GSE223744","EC","padj<0.05 & log2FC>=1"
"S100a6","S100A6",2.50721228776453,7.06877876247888e-29,2.78252836741214e-26,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cldn11","CLDN11",2.50588431570925,0.00671813219488379,0.0269472092671114,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdh15","PCDH15",2.50114014304829,0.00443235542613498,0.0191394654651353,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm26809","GM26809",2.49983040548277,4.17331213094327e-05,0.00038447747929754,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sel1l3","SEL1L3",2.49866134920331,0.00766450855156559,0.0299656567907324,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Muc1","MUC1",2.49714920123088,2.8415341555923e-07,4.51931786729648e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm44997","GM44997",2.49320888612536,0.0117330051790172,0.0422096023463051,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Adamts18","ADAMTS18",2.49162118016877,0.0143491914154938,0.0496355430255532,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pycr1","PYCR1",2.49142471721718,2.97522309404767e-09,7.31972499842409e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tubb3","TUBB3",2.49086008825653,0.000138860530944038,0.00107609145232695,"GSE223744","EC","padj<0.05 & log2FC>=1"
"4933438K21Rik","4933438K21RIK",2.49045235927056,0.000887679409039511,0.00511804506143952,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Uhrf1","UHRF1",2.48938291686511,1.10271288705008e-28,4.15195373993637e-26,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ednrb","EDNRB",2.48810570870569,5.79292099603677e-11,2.10784436242346e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cadps","CADPS",2.48642113444081,0.00996680157414464,0.0369805062691056,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Mthfd1l","MTHFD1L",2.48588626223788,3.4915517409255e-19,4.00487921541918e-17,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ccr2","CCR2",2.48408100882364,0.00698213365183886,0.0278376145455774,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Lrrc15","LRRC15",2.48374622002807,0.00410398355416357,0.0180632698558073,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Fat3","FAT3",2.48354255865314,0.00180908872761475,0.00924017008619508,"GSE223744","EC","padj<0.05 & log2FC>=1"
