gene_symbol,scores,logfoldchanges,pvals,pvals_adj,timepoint,comparison,cell_type,dataset
Zmym1,-0.007149953,-0.12078041,0.9942952115222925,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Jpt1,-0.0072711385,-0.24050947,0.9941985218819559,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Xrcc1,-0.0073317313,0.050340395,0.9941501770936484,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hars,-0.007392324,-0.15891305,0.994101832326818,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Bsdc1,-0.0074529173,-0.1480167,0.9940534875816425,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ccng2,-0.0075438065,-0.12307014,0.9939809705048697,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cyp51,-0.007755881,0.07319554,0.9938117641867962,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pnpt1,-0.007755881,-0.14266072,0.9938117641867962,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mrps33,-0.0079376595,-0.11494649,0.9936667304211036,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mpnd,-0.008058845,0.019364467,0.9935700413599398,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Arl6ip5,-0.008180031,-0.10211912,0.9934733523932039,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gabbr1,-0.008180031,0.08902346,0.9934733523932039,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Inpp5b,-0.008240623,-0.013680946,0.9934250079456902,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm8692,-0.008331513,-0.09627116,0.9933524913197367,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Srpk1,-0.008604181,-0.14089411,0.993134941773749,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rabep1,-0.0087556625,-0.101514824,0.9930140811343698,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Smad7,-0.0087556625,-0.08032836,0.9930140811343698,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hdac1,-0.008785959,-0.12702923,0.9929899090256413,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Nme6,-0.008816255,0.28675014,0.992965736923347,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zeb2os,-0.008816255,22.900665,0.992965736923347,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm14305,-0.008937441,0.21701157,0.9928690485789555,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mrps18b,-0.008998034,0.12328589,0.9928207044459418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Slc2a12,-0.008998034,0.27093297,0.9928207044459418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
P2rx7,-0.008998034,1.7466167,0.9928207044459418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Wdr75,-0.008998034,-0.023624958,0.9928207044459418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Dclre1c,-0.009058627,0.0058879205,0.9927723603392861,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Acss1,-0.009058627,0.4169176,0.9927723603392861,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Xrcc5,-0.009058627,0.0937191,0.9927723603392861,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Uevld,-0.009058627,0.027278604,0.9927723603392861,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm7369,-0.009058627,0.09334185,0.9927723603392861,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rabgef1,-0.009088923,-0.21932954,0.992748188295898,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pex2,-0.009088923,-0.07849803,0.992748188295898,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Man2b2,-0.00911922,0.11819494,0.9927240162591658,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zxdb,-0.00911922,-0.05143148,0.9927240162591658,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp354a,-0.009179813,-0.12697437,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ggnbp1,-0.009179813,0.007915145,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm3325,-0.009179813,-0.116530344,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Slc27a4,-0.009179813,-0.07422814,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Nat14,-0.009179813,0.026156908,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp335,-0.009179813,0.088482164,0.9926756722057586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cyb561d1,-0.009240406,-0.054075766,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Fen1,-0.009240406,-0.085948996,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm14121,-0.009240406,-0.16133475,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Noa1,-0.009240406,-0.08520296,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm10221,-0.009240406,-0.07806272,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Slc45a4,-0.009240406,-0.07247192,0.9926273281792418,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gpatch2,-0.009270702,-0.009737605,0.9926031561761227,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Adamtsl4,-0.009300998,-0.17846553,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm12123,-0.009300998,-0.109522395,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Shc4,-0.009300998,-0.040632527,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Spata24,-0.009300998,-0.085075304,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm8539,-0.009300998,-0.14207517,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Nudt12,-0.009300998,-0.13919042,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rnf26,-0.009300998,-0.18103118,0.9925789841797928,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
2210408I21Rik,-0.009361591,-0.3199065,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tsen54,-0.009361591,-0.25938195,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm15285,-0.009361591,-0.17755662,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm42528,-0.009361591,-0.19809449,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Chid1,-0.009361591,-0.20135953,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
4931440P22Rik,-0.009361591,-0.23404802,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
AC154457.3,-0.009361591,-0.25642017,0.9925306402075894,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mrpl3,-0.009391887,-0.11238074,0.9925064682317601,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ccdc112,-0.009422184,-0.36041337,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rad18,-0.009422184,-0.2828495,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Olfm1,-0.009422184,-0.21519636,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hist2h2be,-0.009422184,-0.37808824,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Unkl,-0.009422184,-0.15413944,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp382,-0.009422184,-0.31019467,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Paox,-0.009422184,-0.39372543,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
St7,-0.009422184,-0.29982102,0.9924822962628087,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp747,-0.009482777,-0.26434648,0.9924339523456285,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfhx2,-0.009482777,-0.3130802,0.9924339523456285,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hipk3,-0.0095433695,-0.15485753,0.992385608456226,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Smg1,-0.009573665,-0.12645945,0.992361436521997,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp90,-0.009573665,0.23435424,0.992361436521997,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Fam149a,-0.009603962,-0.5294232,0.992337264594779,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Flad1,-0.009603962,-0.3726563,0.992337264594779,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Det1,-0.009664555,-0.5669608,0.9922889207614647,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
1700030K09Rik,-0.009664555,-0.6654909,0.9922889207614647,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pomt1,-0.009725148,-0.5705046,0.9922405769564606,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cytip,-0.009725148,-22.679626,0.9922405769564606,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rnf166,-0.009755445,-0.13241592,0.9922164050646304,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
0610009B22Rik,-0.00987663,-0.1556382,0.9921197175689725,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Snai2,-0.009997816,-0.13976993,0.9920230301890405,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cdc23,-0.010240187,-0.104636274,0.991829655782033,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Epm2aip1,-0.010664336,-0.13778983,0.9914912517314595,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Klk8,-0.010664336,0.10622958,0.9914912517314595,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Xrcc4,-0.010664336,-0.21187238,0.9914912517314595,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mzt2,-0.010785522,-0.17415932,0.9913945651383523,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Scmh1,-0.010785522,-0.16061135,0.9913945651383523,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Exosc7,-0.010815819,-0.08958835,0.9913703935097661,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
AW209491,-0.011088487,0.049873747,0.9911528492115773,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Man1a,-0.011209672,-0.13010144,0.9910561630669913,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Aasdhppt,-0.011361154,0.10220062,0.9909353055711266,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hnrnpa0,-0.011421747,-0.07409748,0.9908869626308646,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Dpm1,-0.011633822,-0.03231129,0.990717762604586,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Psmd4,-0.011694415,-0.052179836,0.9906694198162779,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Hddc2,-0.011755007,-0.2420756,0.9906210770622254,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pwwp2b,-0.011755007,-0.0059494665,0.9906210770622254,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mtmr12,-0.011997378,-0.055669498,0.9904277063921204,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Endod1,-0.012057971,-0.02128034,0.9903793638120078,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Dstyk,-0.012057971,-0.027318256,0.9903793638120078,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ncoa2,-0.012118564,-0.350255,0.9903310212672154,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Atad1,-0.012209454,-0.13789693,0.9902585075166408,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Incenp,-0.01223975,-0.108663075,0.9902343362843017,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Nfatc1,-0.012300343,-0.101465695,0.9901859938465352,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pbxip1,-0.012421529,-0.2280432,0.9900893090792704,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm47817,-0.012482122,0.13128936,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mns1,-0.012482122,0.8644578,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gapdh-ps14,-0.012482122,-0.030288933,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm10060,-0.012482122,0.037255198,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Trmo,-0.012482122,-0.11996533,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Trim36,-0.012482122,17.313316,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Csmd3,-0.012482122,21.382792,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tlr4,-0.012482122,18.669971,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm49499,-0.012482122,-0.28211215,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm7558,-0.012482122,0.047123354,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm5272,-0.012482122,-0.24797274,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm6283,-0.012482122,-0.034218945,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm2581,-0.012482122,-0.2535455,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm5481,-0.012482122,-0.2881492,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm9530,-0.012482122,0.057717036,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm7172,-0.012482122,-0.26798746,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Purg,-0.012482122,-0.032291528,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm16675,-0.012482122,0.107256845,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm44860,-0.012482122,21.003992,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Invs,-0.012482122,-0.12610614,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Atp1b2,-0.012482122,0.118604146,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Sgip1,-0.012482122,0.08221145,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Wdr5b,-0.012482122,-0.121938154,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Kpna2,-0.012482122,-0.27982002,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm15191,-0.012482122,-0.12404347,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
4930524J08Rik,-0.012482122,0.04619345,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Asb10,-0.012482122,0.42282432,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
B4galt6,-0.012482122,1.9235659,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
4930515G01Rik,-0.012482122,0.019158294,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm14418,-0.012482122,0.14896555,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Plcb2,-0.012482122,20.995258,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Abcb6,-0.012482122,0.10778056,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pik3cg,-0.012482122,14.803274,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm15655,-0.012482122,-0.20128073,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Steap4,-0.012482122,0.085407495,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mrm3,-0.012482122,-0.25194228,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Camkmt,-0.012482122,-0.050370485,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Lag3,-0.012482122,4.5354686,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rpl35a-ps5,-0.012482122,0.18427993,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mt3,-0.012482122,0.5906627,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Carmil1,-0.012482122,0.059615288,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm10785,-0.012482122,-0.24884875,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ccdc88b,-0.012482122,21.519623,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm3565,-0.012482122,-0.23567386,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tspan33,-0.012482122,0.76066804,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Adam8,-0.012482122,-0.15865712,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Vash1,-0.012482122,-0.035574026,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
E530011L22Rik,-0.012482122,-0.031997077,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm19196,-0.012482122,-0.30583793,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm5086,-0.012482122,21.306677,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm37401,-0.012482122,0.26019105,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mir142hg,-0.012482122,1.0817094,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
1700017B05Rik,-0.012482122,20.738226,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
1700123M08Rik,-0.012482122,0.13025686,0.9900409667501269,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ptchd1,-0.012542714,-0.38469583,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
1700055D18Rik,-0.012542714,-0.4130152,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Traf4,-0.012542714,-0.3474382,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
A330023F24Rik,-0.012542714,-0.35574898,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm17136,-0.012542714,-0.21461314,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rnf24,-0.012542714,-0.37491927,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rap1gap2,-0.012542714,-0.3255489,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm43106,-0.012542714,-0.27366886,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ube2s,-0.012542714,-0.3549755,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cdh11,-0.012542714,-0.45111912,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Mrc2,-0.012542714,-0.4615076,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Rpp40,-0.012542714,-0.07532986,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ly6g6d,-0.012542714,-0.12969694,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Cd200r1,-0.012542714,0.28653228,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm5871,-0.012542714,-0.40418878,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tmem231,-0.012542714,-0.41302982,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
2810013P06Rik,-0.012542714,-0.07680189,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Fcrl1,-0.012542714,-0.2608626,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm19843,-0.012542714,-0.5304391,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Adcy7,-0.012542714,-0.41182396,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gtf2ird2,-0.012542714,0.2728238,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Plxna4os1,-0.012542714,-0.734108,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Slc6a20b,-0.012542714,-0.38997355,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Xxylt1,-0.012542714,-0.0770807,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm45464,-0.012542714,-0.29685962,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm15204,-0.012542714,-0.53492093,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm2754,-0.012542714,-0.40400517,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
5330406M23Rik,-0.012542714,-0.07629794,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm8419,-0.012542714,-0.27378497,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Bcl7a,-0.012542714,-0.19340765,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm2223,-0.012542714,-0.53617895,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm12838,-0.012542714,-0.26178774,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Irak1bp1,-0.012542714,-0.4013786,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Smim1,-0.012542714,-0.3096166,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm14130,-0.012542714,-0.30880234,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Setbp1,-0.012542714,-0.20060991,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Plxnc1,-0.012542714,-0.44068232,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Serpinb10,-0.012542714,-0.2296071,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm44694,-0.012542714,-0.25660565,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
4930579G24Rik,-0.012542714,-0.507492,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tonsl,-0.012542714,-0.14697187,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Il2,-0.012542714,-0.2770415,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp273,-0.012542714,-0.3047741,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm12804,-0.012542714,-0.16806675,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tbxas1,-0.012542714,-21.17052,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm43960,-0.012542714,-0.28803396,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Ppfibp2,-0.012542714,-0.4174861,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm5523,-0.012542714,-0.29970637,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp428,-0.012542714,-0.5058585,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Zfp563,-0.012542714,-0.35710275,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Sall3,-0.012542714,-4.4481293e-08,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm38357,-0.012542714,-0.5580492,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Lgals7,-0.012542714,0.017541852,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
N4bp2os,-0.012542714,-0.19044708,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Stx11,-0.012542714,-0.3098287,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Tspyl3,-0.012542714,-0.42111894,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Med12l,-0.012542714,0.26987067,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Fgd4,-0.012542714,-0.5015095,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Dsn1,-0.012542714,-0.3981866,0.9899926244575461,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Trim7,-0.012603307,-0.88575816,0.9899442822017053,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm8171,-0.012603307,-0.56782913,0.9899442822017053,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Nmral1,-0.012603307,-21.902876,0.9899442822017053,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Pygl,-0.012603307,-1.245903,0.9899442822017053,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
Gm37238,-0.012603307,-0.64983845,0.9899442822017053,1.0,Day 14,Stroke_vs_Sham,Endothelial,GSE225948
