"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"MAGOH",1,"GSE225948",1.28,1.28,0.000891,"Tier5_1dataset"
"GGN",1,"GSE223744",1.279,1.279,0.008701,"Tier5_1dataset"
"PSMA3",1,"GSE225948",1.279,1.279,1e-06,"Tier5_1dataset"
"MARVELD2",1,"GSE223744",1.278,1.278,0.000512,"Tier5_1dataset"
"CCNL1",1,"GSE234052",1.277,1.277,0.002985,"Tier5_1dataset"
"RPL24",1,"GSE244576",1.277,1.277,0,"Tier5_1dataset"
"A430105I19RIK",1,"GSE223744",1.276,1.276,0,"Tier5_1dataset"
"BC037039",1,"GSE223744",1.275,1.275,0.030356,"Tier5_1dataset"
"TMED9",1,"GSE225948",1.275,1.275,1.5e-05,"Tier5_1dataset"
"GM9892",1,"GSE223744",1.273,1.273,1.1e-05,"Tier5_1dataset"
"DBP",1,"GSE223744",1.272,1.272,0.02673,"Tier5_1dataset"
"SMIM3",1,"GSE223744",1.27,1.27,0.012954,"Tier5_1dataset"
"P4HB",1,"GSE225948",1.268,1.268,1e-06,"Tier5_1dataset"
"CCT4",1,"GSE225948",1.267,1.267,3.5e-05,"Tier5_1dataset"
"VAPA",1,"GSE223744",1.266,1.266,1e-06,"Tier5_1dataset"
"CDT1",1,"GSE223744",1.265,1.265,0.028743,"Tier5_1dataset"
"PCDHB20",1,"GSE223744",1.264,1.264,0.004699,"Tier5_1dataset"
"UTP20",1,"GSE223744",1.263,1.263,0,"Tier5_1dataset"
"APOBEC3",1,"GSE223744",1.261,1.261,0,"Tier5_1dataset"
"RPSA-PS10",1,"GSE223744",1.26,1.26,0,"Tier5_1dataset"
"GM15706",1,"GSE223744",1.259,1.259,0.013234,"Tier5_1dataset"
"PSMA5",1,"GSE225948",1.258,1.258,1e-05,"Tier5_1dataset"
"1500011K16RIK",1,"GSE225948",1.257,1.257,0.00441,"Tier5_1dataset"
"GM15441",1,"GSE223744",1.253,1.253,0.017799,"Tier5_1dataset"
"PDIA3",1,"GSE225948",1.253,1.253,0,"Tier5_1dataset"
"GM37320",1,"GSE223744",1.252,1.252,0.038974,"Tier5_1dataset"
"GM44085",1,"GSE223744",1.252,1.252,0.020822,"Tier5_1dataset"
"GCH1",1,"GSE234052",1.248,1.248,0.037007,"Tier5_1dataset"
"RPL22L1",1,"GSE225948",1.248,1.248,0,"Tier5_1dataset"
"SIK1",1,"GSE223744",1.248,1.248,5e-06,"Tier5_1dataset"
"SNRPE",1,"GSE225948",1.248,1.248,3e-06,"Tier5_1dataset"
"ENC1",1,"GSE300442",1.247,1.247,0,"Tier5_1dataset"
"PCDHB22",1,"GSE223744",1.247,1.247,0.00055,"Tier5_1dataset"
"MYO7A",1,"GSE223744",1.246,1.246,0.014438,"Tier5_1dataset"
"TRAM2",1,"GSE223744",1.246,1.246,0,"Tier5_1dataset"
"AC164550.2",1,"GSE223744",1.245,1.245,0.022903,"Tier5_1dataset"
"BAX",1,"GSE225948",1.245,1.245,0.000906,"Tier5_1dataset"
"TBC1D14",1,"GSE300442",1.245,1.245,0,"Tier5_1dataset"
"PSMC4",1,"GSE225948",1.244,1.244,0.002092,"Tier5_1dataset"
"UQCC2",1,"GSE225948",1.244,1.244,0,"Tier5_1dataset"
"AC117245.4",1,"GSE223744",1.243,1.243,0.01954,"Tier5_1dataset"
"EIF3I",1,"GSE225948",1.243,1.243,0.00052,"Tier5_1dataset"
"BHLHE40",1,"GSE234052",1.242,1.242,0.015794,"Tier5_1dataset"
"MYDGF",1,"GSE225948",1.242,1.242,0.001322,"Tier5_1dataset"
"DEF6",1,"GSE223744",1.241,1.241,4.2e-05,"Tier5_1dataset"
"RASD1",1,"GSE223744",1.239,1.239,0.000412,"Tier5_1dataset"
"AGPAT4",1,"GSE223744",1.238,1.238,0,"Tier5_1dataset"
"GPX1",1,"GSE225948",1.238,1.238,0,"Tier5_1dataset"
"SNRPF",1,"GSE225948",1.237,1.237,0.00473,"Tier5_1dataset"
