gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Galnt13,1,1,GSE223744,Endothelial,1d,5.721725805983764,3.2764139506722675e-10
Rex2,1,1,GSE223744,Endothelial,1d,5.709163066725229,2.69043768052465e-07
Ppp4r3c-ps,1,1,GSE223744,Endothelial,1d,5.670924424447006,0.0045208203233689
Mmp12,1,1,GSE223744,Endothelial,1d,5.630990617927448,6.306335698611915e-05
Nrg3,1,1,GSE223744,Endothelial,1d,5.612337258835764,1.554155285688903e-07
Fkbp5,1,1,GSE223744,Endothelial,1d,5.595519931361886,2.881289242953382e-20
Epyc,1,1,GSE223744,Endothelial,1d,5.575535149647473,0.0043959458953471
Bdkrb2,1,1,GSE223744,Endothelial,1d,5.565092580577832,6.02859494399535e-08
Adam29,1,1,GSE223744,Endothelial,1d,5.497034939260289,0.0141329997187725
Cdhr1,1,1,GSE223744,Endothelial,1d,5.317408653130644,0.0097224882302676
Ac153484.1,1,1,GSE223744,Endothelial,1d,5.258681764744357,0.0241924440944913
Map3k6,1,1,GSE223744,Endothelial,1d,5.244324755555825,5.374464280752141e-132
Csn1s2b,1,1,GSE223744,Endothelial,1d,5.243343554881878,9.104936344156488e-06
Il1r2,1,1,GSE223744,Endothelial,1d,5.134152034507349,9.7125625475028e-05
Ctf2,1,1,GSE223744,Endothelial,1d,5.106040839247172,0.0248737761789698
Saa3,1,1,GSE223744,Endothelial,1d,5.105198044979257,0.0432152953106281
Ac160029.2,1,1,GSE223744,Endothelial,1d,5.093137498873515,0.0102895637959209
Psors1c2,1,1,GSE223744,Endothelial,1d,5.081751375559206,2.23150949103133e-07
Cxcl2,1,1,GSE234052,SMC,24h,5.063658,0.0136965070500569
Zfp735,1,1,GSE223744,Endothelial,1d,5.044811136877814,2.079241209420072e-06
Tlr1,1,1,GSE223744,Endothelial,1d,5.033979385100433,0.0175566900500818
Lao1,1,1,GSE223744,Endothelial,1d,4.99930745423084,3.434345414874011e-41
Bend4,1,1,GSE223744,Endothelial,1d,4.91967187140019,0.000149452315724
Lrrtm4,1,1,GSE223744,Endothelial,1d,4.906782215648596,0.0007034572829772
Slc47a1,1,1,GSE223744,Endothelial,1d,4.8768049313978645,0.0025997179780834
Glra3,1,1,GSE223744,Endothelial,1d,4.876382622241297,5.325806563552993e-05
Selp,1,1,GSE223744,Endothelial,1d,4.821327138301938,2.3932152182947725e-05
Slc35f4,1,1,GSE223744,Endothelial,1d,4.816306891490294,0.0044084534694801
Tgm1,1,1,GSE223744,Endothelial,1d,4.776972767671047,0.0004737200002673
Ac152063.4,1,1,GSE223744,Endothelial,1d,4.757515761843404,0.0155524539496454
Ac124456.1,1,1,GSE223744,Endothelial,1d,4.7338711720353,0.0031825646142772
Hhip,1,1,GSE223744,Endothelial,1d,4.728065440750665,0.0001561755866773
Fgl1,1,1,GSE223744,Endothelial,1d,4.655671249737369,0.0059095494530798
Ac163660.3,1,1,GSE223744,Endothelial,1d,4.6429849408436334,0.0092435610456189
Cxcr2,1,1,GSE223744,Endothelial,1d,4.624319119324692,0.0022143233322689
Stc1,1,1,GSE223744,Endothelial,1d,4.60883887055589,4.012503410226953e-07
Apob,1,1,GSE223744,Endothelial,1d,4.563466758368078,0.0035273293908268
Trdn,1,1,GSE223744,Endothelial,1d,4.557309977629162,0.0003196213086891
Acat3,1,1,GSE223744,Endothelial,1d,4.555181536180775,6.941828079972817e-05
Prl2c3,1,1,GSE223744,Endothelial,1d,4.550018736261012,0.000639004362752
Sis,1,1,GSE223744,Endothelial,1d,4.544614471074764,0.0015072846908905
Itgbl1,1,1,GSE223744,Endothelial,1d,4.53678541560431,2.903338799556004e-05
Ac123620.1,1,1,GSE223744,Endothelial,1d,4.521045730482383,0.0005819621156755
Myc,1,1,GSE223744,Endothelial,1d,4.517242825498805,3.739578051239144e-37
Ifi205,1,1,GSE223744,Endothelial,1d,4.502489481762792,0.0309482047797879
Zbtb16,1,1,GSE223744,Endothelial,1d,4.4956368889876215,9.03047383239212e-84
Aw551984,1,1,GSE223744,Endothelial,1d,4.493800288208707,0.0116502394496758
Fam167a,1,1,GSE223744,Endothelial,1d,4.479200822374362,9.862098265010216e-10
Zfp616,1,1,GSE223744,Endothelial,1d,4.470098952344718,6.874919115430523e-08
Car13,1,1,GSE223744,Endothelial,1d,4.468025278523117,7.281145177431756e-14
Cacng1,1,1,GSE223744,Endothelial,1d,4.4284453406206365,0.0175956626593505
Csf2rb,1,1,GSE223744,Endothelial,1d,4.407109003713433,3.998793865299968e-09
Cntnap5b,1,1,GSE223744,Endothelial,1d,4.38853274067932,0.0161497841109093
Bst1,1,1,GSE223744,Endothelial,1d,4.386413256701499,8.519651705907792e-26
Slfn4,1,1,GSE223744,Endothelial,1d,4.377647606475409,2.6526539917909307e-15
Slfn2,1,1,GSE234052,SMC,24h,4.3536315,0.0026960875333245
Slc22a30,1,1,GSE223744,Endothelial,1d,4.312795045048389,0.002046650839333
Ac132221.1,1,1,GSE223744,Endothelial,1d,4.310054636863331,0.0005259622852009
Kif14,1,1,GSE223744,Endothelial,1d,4.2980461509270045,0.0016696547669749
Ac156791.1,1,1,GSE223744,Endothelial,1d,4.274583666050806,0.0007326397183412
Depdc1a,1,1,GSE223744,Endothelial,1d,4.269957556222005,0.0058192591289764
Ptges3l,1,1,GSE223744,Endothelial,1d,4.2692804469108205,0.0074047978437086
Disp2,1,1,GSE223744,Endothelial,1d,4.263908443527404,1.9424004540237148e-11
Flnc,1,1,GSE223744,Endothelial,1d,4.246945337846409,5.376373879956685e-06
Gpr55,1,1,GSE223744,Endothelial,1d,4.241924367908753,1.9481050135604823e-08
Nnmt,1,1,GSE223744,Endothelial,1d,4.236560445164568,0.0002215322876672
Dchs2,1,1,GSE223744,Endothelial,1d,4.22711459258083,0.0042811704178137
Ac122840.3,1,1,GSE223744,Endothelial,1d,4.219323329442206,0.0023122450642513
Ac107851.2,1,1,GSE223744,Endothelial,1d,4.211499935971017,9.832238182398505e-09
Ntng1,1,1,GSE223744,Endothelial,1d,4.211096179896937,0.0040573590656361
Doc2b,1,1,GSE223744,Endothelial,1d,4.210392996898352,4.7675686744159155e-25
Relt,1,1,GSE223744,Endothelial,1d,4.191946266767862,1.5614392440514144e-05
Ct025538.3,1,1,GSE223744,Endothelial,1d,4.1888219799923085,0.0002190701626124
Ac122357.2,1,1,GSE223744,Endothelial,1d,4.174508039683508,0.0005249078663559
Hhipl1,1,1,GSE223744,Endothelial,1d,4.150202405602236,1.9380721883604646e-07
Mdfi,1,1,GSE223744,Endothelial,1d,4.137434476846739,0.0008298950819013
Zfp980,1,1,GSE223744,Endothelial,1d,4.131555945518088,8.83640786654397e-08
Il1rapl1,1,1,GSE223744,Endothelial,1d,4.123362855101479,0.0008517663021905
Zmynd15,1,1,GSE223744,Endothelial,1d,4.11679209157777,0.0021778980361434
