"","Macrophage--Sham","Microglia--Sham","Endothelial--Sham","T-cell--Sham","B-cell--Sham","Microglia--Stroke-isotype","T-cell--Stroke-isotype","Macrophage--Stroke-isotype","Endothelial--Stroke-isotype","B-cell--Stroke-isotype","Microglia--Stroke-antiVCAM1","Endothelial--Stroke-antiVCAM1","Macrophage--Stroke-antiVCAM1","B-cell--Stroke-antiVCAM1","T-cell--Stroke-antiVCAM1","Endothelial--Stroke-antiVLA4","Macrophage--Stroke-antiVLA4","Microglia--Stroke-antiVLA4","T-cell--Stroke-antiVLA4","B-cell--Stroke-antiVLA4"
"Pcbp1",0.46552463954012,0.528523735305311,0.584621659092886,0.295204061540265,0.815947664376088,0.450163733826989,0.348443045336396,0.484102527129461,0.59546697539989,0.473493121360105,0.470879322910668,0.692256561793034,0.570966960942199,0.537045783566135,0.386763317488882,0.702372492688537,0.563243756799361,0.458204276676533,0.368121547255557,0.398632063073837
"Atg7",0.41628528319124,0.225459118104063,0.114230740258039,0.122892014462846,0.0886565697001419,0.162061780456618,0.184242488132896,0.355969714879988,0.0949065062047785,0.153104222898776,0.176984085902017,0.0763898145053697,0.43447288656228,0.207539754654545,0.155571255981903,0.0676830206132779,0.349882392066274,0.196148802732976,0.10570771514023,0.0380375030234694
"Bid",0.0822195556230436,0.184072160757898,0.00522292393602453,0.0702513250623341,0.0474133285691704,0.151965413291914,0.084228840017662,0.0412390666387015,0.00569567884164756,0.0904657165850423,0.164719477563102,0.00786747664470759,0.143263934889676,0.169390149174663,0,0.00528159137163693,0.0755342175401484,0.155834746704895,0.0590408869253832,0.131977172170495
"Lpcat3",0.124154368291688,0.655333283136268,0.254285513735053,0.237548230595706,0.110806539245759,0.629787810577128,0.156836243890803,0.143844086721363,0.258750786254913,0.130975823762855,0.616174854886234,0.276392083141123,0.164641595544425,0.144356772571445,0.203982930957233,0.272265896002423,0.160104648300733,0.593764620306638,0.17969883910182,0.0718524490180966
"Eno2",0.00484950103069419,0.0010052292787142,0.00816533274144905,0.0158453370192643,0,0.00275085598397639,0.00515004113238074,0.00316761039536529,0.00604452337684343,0,0.00233306750897423,0.00276882074849767,0,0,0,0.00673176987988184,0,0.00193832492104405,0.0120068510236988,0
"Ccnd2",0.682745794900621,0.00329199227128542,0.166028695866306,1.66099265767285,0.213195651614335,0.00564120518500984,1.26849431115485,0.526680353520637,0.14801637251918,0.228564539611634,0.00386842847827101,0.215588362472127,0.19092863848486,0.116936032117644,1.3636191967079,0.209790038536548,0.471432937522124,0.00722807191649898,1.27628631231732,0.11846502412928
"Cd69",0.0687484474997356,0.00321600894955421,0.00237799641453586,0.766675029586808,0.645517911881019,0.00484363950659848,0.66886426406378,0.0800434311264954,0.00577466750461927,0.364671675233016,0.00344944047611535,0,0.0764378862769658,0.677054467902742,0.605008458081179,0.000581976788944987,0.043694327954514,0.00485407646320891,0.619929728313815,0.580317418094102
"Cdkn1b",0.509226735452269,0.298767268748014,0.491582221450891,0.853704903428529,0.514514243719425,0.276919820271734,0.724283818679976,0.390561277411619,0.491780507630567,0.568898102448928,0.269282284504577,0.525608470216681,0.485229713113464,0.370363499227112,0.798327037967442,0.579702289771158,0.36649433049628,0.252621861785827,0.71494459097755,0.497010810670957
"Emp1",0.0108485627814067,0,0.0354376022938137,0.0234420699169464,0,0,0.0236298673888965,0.0119596910939723,0.00785421746010209,0,0,0.0099424247831282,0.0204441101698986,0,0.0645384524263309,0.0118365259881232,0.0149659464618147,0.000157755223554076,0.0462297243989288,0
"Chmp2a",0.52568812345818,0.347254995993058,0.662514072410186,0.555760666560957,0.300758518266303,0.389687749014534,0.591846090058369,0.600632753312095,0.844525142900353,0.492733914678769,0.415899705419232,1.01143366557874,0.709000757689102,0.298673536322823,0.601352886822889,1.03874833477038,0.621184628493148,0.40879975945872,0.659909237374858,0.490787692373165
"Slc1a5",0.145919397744791,0.0243295970455356,0.0200910156530753,0.186895583482497,0.701678212306486,0.0181920767559494,0.229036687000572,0.0949681236116089,0.0199724788339086,0.249796940783118,0.0157655550585721,0.0157364797043355,0.0927020622748326,0.391316312490929,0.193362054822831,0.0160179035139683,0.0530749266366067,0.0114872805982971,0.22277294330552,0.358538624920579
"Ftl1",3.01103634093732,2.52071578395146,1.67907817749051,1.59860559472894,2.52653708869765,2.5350312534979,1.58744614847541,3.16292397376685,1.88598858038228,2.21827381249009,2.51625144015897,2.25139738598651,3.36468770313062,2.45101319080925,1.64201684518594,2.25570883080645,3.5098436310699,2.36450231224675,1.5233503683764,2.18767919750006
