"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE227651","Pericyte","Necroptosis",8,0.568949342106548,0.548102562791032,0.0208467793155157,-0.525465199936012,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Microglia","Apoptosis",9,0.316754738620944,0.258491348341214,0.0582633902797305,0.647371906730464,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Microglia","Ferroptosis",10,0.671148022979533,0.598354196336964,0.0727938266425692,0.650354184553119,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Microglia","Necroptosis",8,0.519239902153475,0.326087291233344,0.193152610920131,2.30678054219555,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Fibroblast","Apoptosis",9,0.589117734412349,0.501450084826536,0.0876676495858136,1.43526916646512,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Fibroblast","Ferroptosis",10,0.647210438791343,0.569564143417883,0.0776462953734596,0.778751692133591,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Fibroblast","Necroptosis",8,0.588464967715623,0.581885194539728,0.00657977317589464,-0.759976516329695,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","OPC","Apoptosis",9,0.438459716715519,0.458334366024341,-0.0198746493088217,-1.44636378754435,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","OPC","Ferroptosis",10,0.421833217182684,0.405591630974414,0.01624158620827,-0.846031907258589,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","OPC","Necroptosis",8,0.211895321117046,0.196439108186278,0.0154562129307683,-0.614071653639286,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","SMC","Apoptosis",9,0.39393717719718,0.354852197062254,0.0390849801349259,0.133479798724436,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","SMC","Ferroptosis",10,0.705145662495726,0.658089748868334,0.0470559136273914,-0.0306772789645098,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","SMC","Necroptosis",8,0.558058478104663,0.547136514219324,0.0109219638853396,-0.688602546953145,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Macrophage","Apoptosis",9,0.39974492337147,0.370723477383488,0.0290214459879825,-0.136176066267291,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Macrophage","Ferroptosis",10,0.732497782910272,0.743474866837358,-0.0109770839270866,-1.56624456577345,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Macrophage","Necroptosis",8,0.716317506995687,0.634457359065884,0.0818601479298038,0.47743094038413,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE244576","Oligodendrocyte","Apoptosis",9,0.172250589559414,0.0978500023298782,0.0744005872295359,0.300944655203396,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Oligodendrocyte","Ferroptosis",9,0.117066465873538,0.0548038632918065,0.0622626025817318,-0.109416473974274,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Oligodendrocyte","Necroptosis",8,0.182288518759849,0.0983602057889924,0.0839283129708563,-0.5060456065121,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Microglia","Apoptosis",9,0.185072079040778,0.0986702240937029,0.0864018549470747,0.53488417254677,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Microglia","Ferroptosis",9,0.199523564102557,0.114418115320129,0.0851054487824275,0.405619039617228,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Microglia","Necroptosis",8,0.197040185921754,0.0996053923706933,0.0974347935510608,-0.225266562240391,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Neuron","Apoptosis",9,0.166139689266952,0.126089824582115,0.0400498646848363,-0.368650561038578,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Neuron","Ferroptosis",9,0.096536712295959,0.0629054137507205,0.0336312985452385,-0.754963804183093,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Neuron","Necroptosis",8,0.156338056419155,0.117165625908247,0.0391724305109085,-1.4364518532037,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
"GSE244576","Pericyte","Apoptosis",9,0.237605908531925,0.148506715992417,0.0890991925395079,0.587463105817611,"Zhang H",4,0.101300818236198,"Acute",3,"snRNA","Mouse"
