"dataset","signature","cell_type","timepoint","ctrl_mean","stroke_mean","delta","n_genes"
"GSE227651","M1_markers","T_cell","Stroke",0.268139846695652,0.213403906295652,-0.0547359404,23
"GSE227651","M2_markers","Astrocyte","Stroke",0.0597010862352941,0.0731461776988235,0.0134450914635294,17
"GSE227651","M2_markers","Endothelial","Stroke",0.101078542530588,0.0991546835654118,-0.00192385896517647,17
"GSE227651","M2_markers","Macrophage","Stroke",0.402718369235294,0.344166097352941,-0.058552271882353,17
"GSE227651","M2_markers","Microglia","Stroke",0.783588038529412,0.663168499929412,-0.1204195386,17
"GSE227651","M2_markers","NK_cell","Stroke",0.0281719984958824,0.0345304414529412,0.00635844295705882,17
"GSE227651","M2_markers","Neuron","Stroke",0.0247924739705882,0.0389182305247059,0.0141257565541176,17
"GSE227651","M2_markers","OPC","Stroke",0.0998883632941176,0.0937566970647059,-0.00613166622941176,17
"GSE227651","M2_markers","Oligodendrocyte","Stroke",0.0233987030764706,0.0427707649352941,0.0193720618588235,17
"GSE227651","M2_markers","Pericyte","Stroke",0.133031551370588,0.121568254562353,-0.0114632968082353,17
"GSE227651","M2_markers","T_cell","Stroke",0.169930033529412,0.152643624176471,-0.0172864093529412,17
"GSE227651","DAM_markers","Astrocyte","Stroke",0.966310738891667,1.08145127752417,0.1151405386325,24
"GSE227651","DAM_markers","Endothelial","Stroke",0.615921713103333,0.690043425983333,0.07412171288,24
"GSE227651","DAM_markers","Macrophage","Stroke",1.35593536888333,1.54277027433333,0.18683490545,24
"GSE227651","DAM_markers","Microglia","Stroke",1.410311168625,1.83046322845833,0.420152059833333,24
"GSE227651","DAM_markers","NK_cell","Stroke",1.02280977927917,1.10341217946167,0.0806024001825001,24
"GSE227651","DAM_markers","Neuron","Stroke",0.415678526591667,0.534458905695833,0.118780379104167,24
"GSE227651","DAM_markers","OPC","Stroke",0.938215201333333,0.996638143304167,0.0584229419708333,24
"GSE227651","DAM_markers","Oligodendrocyte","Stroke",1.022741978755,1.12471409622833,0.101972117473333,24
"GSE227651","DAM_markers","Pericyte","Stroke",0.649081895025,0.679194570515,0.03011267549,24
"GSE227651","DAM_markers","T_cell","Stroke",0.596170755375,0.5934476926375,-0.0027230627375,24
"GSE174574","A1_markers","Astrocyte","Stroke",0.118881306726316,0.317621756915789,0.198740450189474,19
"GSE174574","A1_markers","Endothelial","Stroke",0.355458782278947,0.382302112389474,0.0268433301105263,19
"GSE174574","A1_markers","Macrophage","Stroke",0.340811703168421,0.507808582847368,0.166996879678947,19
"GSE174574","A1_markers","Microglia","Stroke",0.2232813942,0.416300243526316,0.193018849326316,19
"GSE174574","A1_markers","NK_cell","Stroke",0.409898778989474,0.457963731315789,0.0480649523263158,19
"GSE174574","A1_markers","OPC","Stroke",0.102647929710526,0.160844649647368,0.0581967199368421,19
"GSE174574","A1_markers","Oligodendrocyte","Stroke",0.0612249824631579,0.178228365336842,0.117003382873684,19
"GSE174574","A1_markers","Pericyte","Stroke",0.251912968431579,0.310594152194737,0.0586811837631579,19
"GSE174574","A2_markers","Astrocyte","Stroke",0.0977938990294118,0.356391793688235,0.258597894658824,17
"GSE174574","A2_markers","Endothelial","Stroke",0.235588523928,0.432175451508529,0.196586927580529,17
"GSE174574","A2_markers","Macrophage","Stroke",0.225109762088235,0.646440466476471,0.421330704388235,17
"GSE174574","A2_markers","Microglia","Stroke",0.210130630199412,0.420931658151176,0.210801027951765,17
"GSE174574","A2_markers","NK_cell","Stroke",0.161401842235294,0.439010976541176,0.277609134305882,17
"GSE174574","A2_markers","OPC","Stroke",0.101708529435882,0.258389008952941,0.156680479517059,17
"GSE174574","A2_markers","Oligodendrocyte","Stroke",0.0576575764823529,0.252515789147059,0.194858212664706,17
"GSE174574","A2_markers","Pericyte","Stroke",0.182378709705882,0.395717239082353,0.213338529376471,17
"GSE174574","Pan_reactive","Astrocyte","Stroke",0.258732512666667,0.663086703333333,0.404354190666667,6
"GSE174574","Pan_reactive","Endothelial","Stroke",0.352701985166667,0.551405854333333,0.198703869166667,6
"GSE174574","Pan_reactive","Macrophage","Stroke",0.234939242666667,0.409898913333333,0.174959670666667,6
