"","Astrocyte..Control","Astrocyte..D14","Astrocyte..D3","Astrocyte..Sham","Endothelial..Control","Endothelial..D14","Endothelial..D3","Endothelial..Sham","Fibroblast..Control","Fibroblast..D14","Fibroblast..D3","Fibroblast..Sham","Macrophage..Control","Macrophage..D14","Macrophage..D3","Macrophage..Sham","Microglia..Control","Microglia..D14","Microglia..D3","Microglia..Sham","Neuron..Control","Neuron..D14","Neuron..D3","Neuron..Sham","Oligodendrocyte..Control","Oligodendrocyte..D14","Oligodendrocyte..D3","Oligodendrocyte..Sham","OPC..Control","OPC..D14","OPC..D3","OPC..Sham","Pericyte..Control","Pericyte..D14","Pericyte..D3","Pericyte..Sham"
"Emp1",0,0.040295547728742,0.0949476979879705,0,0.0437476467735708,0.144479310929824,0.27649438776494,0,0,0.210461800471556,0.107366323399832,0.0441255685265074,0,0.0736088283780173,0.242046919296004,0,0,0,0,0,0.00083515901039752,0.00702241104551551,0.00993360792586002,0.000375718758447904,0,0,0.018838815892325,0,0,0,0.00724283860000661,0,0,0.0178661454514116,0.0440791394873702,0
"Apoe",3.1041559781821,2.06410870658154,0.709428225322251,3.21822580567378,1.0974193480096,0.814010805171949,0.288088876487686,1.06118152708726,1.81379658367061,0.84906306520689,0.332162275633975,1.7286319630129,2.21573392368029,2.8976169149652,1.81018935406547,2.15173743579724,0.547897253285071,0.90228103767467,0,0.832188244015021,0.0711647660964053,0.249328701313331,0.132100369351971,0.083228014087198,1.42075338515499,1.10047328146281,0.388877811500833,1.34372212402762,1.75301658359411,1.08118334678115,0.300811025651338,1.72115674709917,0.440282153390018,0.594192076619137,0.210600679647591,0.338555625704322
"Tgfb1",0,0.0333029194829739,0.0305707029700152,0,0.184761898658164,0.143942009503326,0.227809519714268,0.0887163814201594,0.0244632974848549,0.0925626776294739,0.111535816225253,0.029958368163045,0.362758057756531,0.241627323368878,0.313785593825447,0.1823360978081,0.270903028116584,0.798231620450628,0,0.331761514794314,0.00175112666197602,0.00591975583072251,0.0298214367736531,0.00136527967663555,0,0,0.0263778079443359,0,0,0.035656439027321,0.0203496021469977,0,0,0.0625370755393648,0.321803375498543,0.0538662221468828
"Axl",0.119144952073309,0.191069864165573,0.233510403508416,0.0440915684926168,0,0.00506234543523942,0.00562163262912414,0.0529255265281741,0.0893941178122705,0.15082918154275,0.257324642593509,0.0821349577774396,0,0.214722665482769,0.103803493278632,0,0,0,0,0,0.000754270227911032,0.00597348640757758,0.00919294491667364,0.000189000773916171,0,0.00872864196842267,0.0514150712132412,0,0.0668558938616014,0.111498204106276,0.210088706700098,0.0441174253575182,0.22267278256249,0.254685354308549,0.600839564268682,0.0558510020849184
"Tyrobp",0.00627650082860481,0.00796722406204061,0.0210827129431933,0.00991221663978766,0,0,0.0281854413896567,0,0,0.0252850377054968,0.0187433715272397,0,0.364603160543048,0.272802606095132,0.323537214658782,0.473962623051927,0.728232583853962,0.399952573459383,2.40087372265555,0.656165464463624,0.00246549679412691,0.0062930376142343,0.0150408506985343,0.00325415476844344,0.0166856385425705,0.0114968383745095,0.0318397682380078,0.00806683040496086,0,0.0297120998481115,0.0163211823608841,0,0,0,0,0.0583656873939346
"Ftl1",0.0543550424534801,0.0561136435582481,0.311885005588471,0.0795199729094305,0.139938841020496,0.0927793106181471,0.187036727842337,0.258525823575363,0.118900040001412,0.126785450476008,0.201793108096481,0.156811795663306,0,0.293898459112999,0.846078086025139,0.244600195351982,0.132762451476472,0,1.31070490640084,0.113882236368015,0.031662427090348,0.0317789868749026,0.0595608562715419,0.0355728925306937,0.088868352344819,0.108832934025989,0.238583477012787,0.0879856220659505,0.0294240598265788,0.011000725207641,0.134578529898042,0.0522377650508946,0.117356473202111,0.0815407756863585,0.106802749361458,0.236349886595595
"Saa3",0.0145228074888794,0.0124850342716096,0.00344879427907465,0.0203631735331716,0,0.00962653685960295,0.00757087392279246,0,0.0333291222671495,0.0108016787562462,0.00386584422941558,0,0,0.0163434429227955,0.0124782984696461,0,0,0,0,0,0.0124918969186283,0.00499698945702753,0.0048453053500171,0.0132761025570616,0.0139180323972154,0.0123835472858749,0,0.00683456123454488,0,0,0,0,0,0.0156692928974374,0,0
"Il4ra",0,0.022779204131394,0.0685914439582495,0,0,0.0333595200993417,0.40381245040469,0,0,0.0561038328129872,0.121651331395152,0,0,0.130526042890798,0.698552709294661,0,0.0398073338230196,0,0.797126276309257,0.0194819891766527,0.0109092126287651,0.0125160342434224,0.0428083244506229,0.00886857827442721,0,0.0164222516344364,0.0835860391727118,0,0.0107213827005033,0.0521009733950129,0.0476471323288918,0,0.0527105269244819,0.0168583798273022,0.194398495266832,0
"Ctsd",0.201614033906466,0.207191733076079,0.551658326850155,0.128334390449843,0.0953781612631447,0.227911557463683,0.310528201442507,0.225288095077071,0.181220317372976,0.252536885783275,0.266212483805154,0.101169073311389,0.418700325118091,1.36184971137953,1.72539996421607,0.746010266833348,1.72521787382462,2.4279184015225,1.73903560231098,1.87336734445325,0.0582489700291311,0.107242851984169,0.187576915571539,0.0620876405886086,0.0600058731338114,0.187794031762186,0.325455263221866,0.0865106768582899,0.0918485850948508,0.279622451381518,0.344643678496299,0.041832778199371,0.122247712401312,0.188404127687355,0.179925578856878,0.115967233234672
"Lpl",0,0.00196661517647156,0,0.0153086115236087,0,0.0446572471563207,0,0.139369343515905,0,0.0301568036207589,0.0100249204430511,0,0,0.297770528289844,0.0535675641298054,0,0,0,0,0,0.0150127721684209,0.0179211631448808,0.0458230248056857,0.0213598258243294,0,0.0272820014572502,0.0329200612818462,0,0,0.0129242146297238,0.0225691568497954,0,0,0.0939480704609696,0,0.0583656873939346
"Hmox1",0,0,0.357381219187447,0.00497590405902943,0,0.0113882747186435,0.101663150484694,0,0.0251593144147642,0.0125517231632064,0.0865011332614989,0,0,0.0490877131655324,0.603937968010852,0,0,0,0,0,0.00286344904618154,0.00540343125413088,0.0414828271643821,0.0029690545587509,0,0,0.104380945715025,0,0.0106838128788716,0,0.0615747571480511,0.00898752973153787,0,0,0.077840902489217,0
"Sall1",0.0716772645287281,0.0586529466701643,0.0730908289742965,0.0773134799623694,0,0,0,0,0.0432200488175555,0.0139259950976722,0.0699674285948359,0.0151566094948012,0,0.0882237596903787,0.0396613863534438,0,0.697189595470118,0.372513615205574,0,0.773654988922152,0.00446238148712335,0.00560609808454109,0.00714746052252818,0.00418076723818635,0.072761040565779,0.0598419300257552,0.0354281771121664,0.0606803427870166,0.0133267093908752,0.0305794452087633,0.0399068371094291,0,0.0712773462571363,0.0170082966340324,0.0668490637023019,0.0558510020849184
"Cd109",0,0.207468482390776,0.103887470699638,0.00562013361349911,0,0.115952164192907,0.0339636174135696,0,0.0415093360742777,0.0471402070484649,0.0707617630987336,0.0151743604182817,0,0.0544829599978534,0.029972216896689,0,0,0,0,0,0.00217293317275028,0.00491489821559407,0.00646411315899379,0.00251896780880868,0,0.0116151288718122,0,0,0,0.156233282533045,0.0805157456634863,0,0,0,0.0129192798155149,0
"Myd88",0,0.00932329374167558,0.0295750419228229,0,0,0.00845685741585055,0.0490543098225414,0,0,0.0127392474871777,0.0155163123566893,0.0274322829393902,0,0.00861562952457396,0.0512288664254784,0.187574105593778,0,0,0,0.0366589771309153,0.00260459794595135,0.0026485126224726,0.00964284527462701,0.00153038753137457,0.00944858236217029,0.0134210647212484,0.0107607076186415,0.00929367880434366,0,0,0,0,0,0.0156692928974374,0.077710752689379,0
"Cx3cr1",0.0435650405903835,0.0377333244942083,0.115432418352563,0.0448733974735593,0.0931804583183033,0.0391480861514219,0.0756696736373585,0.047330488460171,0.0347574143393479,0.052432532446238,0.0656264619267004,0.014671047476299,0.25792755191025,0.445246050223345,0.2112545932154,0.369910203401878,2.19769931353324,1.80687459923836,2.1078311827101,1.91707044342266,0.0833119168027132,0.0443147195130497,0.0415385124553141,0.0740947012276331,0.052995798847125,0.0129634181339835,0.0369790950324113,0.052184609914328,0.0413011223371354,0.0399769605423527,0.0333237665431403,0.0558142532046157,0,0,0,0.057719243203385
"Arg1",0,0,0.00543345918572349,0.00919854454124006,0,0.00763431456587859,0.0356065408697362,0,0.0412268741230284,0.00210605818948802,0.0456485665115529,0,0,0.0166819876617485,0.614744149147755,0,0.0170551754313986,0,0,0.0191719777465418,0.00566352005192195,0.000841191740794184,0.0203318628198643,0.00710061007329964,0,0.0105592381335959,0.044286713635192,0.0179166315894872,0,0,0.057416176633786,0.0238344361466803,0,0.0216834655111549,0.021265348790827,0
"Srgn",0,0.0149252846171661,0.0147041553284593,0.00622396183874531,0.511744850159493,0.172986827842822,0.26974635222918,0.410573870460714,0.0963864031628585,0.0648562330068214,0.0389849480618977,0.0662582091041063,0,0.0881858530070764,0.266298415766785,0,0.040120813535659,0.399952573459383,0,0.110370613637049,0.000734039896983432,0.00355731580701639,0.0138596053373528,0.000955901656607995,0,0,0.0240197370623584,0,0,0.0230102364184363,0.0326438054143403,0,0,0.0746724113216202,0.00831287691869265,0
"S100b",0.143140865084863,0.0997585718302554,0.117064432373347,0.135635727447249,0.165343469480991,0.0171682964488837,0,0.0416189380835397,0.0153006690438136,0.0374418128769176,0.0434021125524744,0.0787815184881852,0,0.00953254699530498,0.00212344971079545,0,0,0.372513615205574,0,0,0.0762766284402969,0.0510010754495869,0.0268169185031154,0.0772870622710091,0.189114346415146,0.109607188671352,0.0451051654287236,0.176049137908762,0.170477789372698,0.231329871693867,0.130914111521518,0.170038993290686,0,0.0143605091106446,0.0333092703855156,0.054661129486982
"Stat6",0.0205816832248715,0.0570452995519538,0.032767112002765,0.0070368024709599,0.139070427691992,0.0585647423652716,0.157393879777651,0.0534284667152979,0.101257743705118,0.151717221099068,0.258659391280743,0.0516803199997806,0,0.204229406700582,0.358003535985474,0.1823360978081,0.108886664624247,0.410189302764523,0,0.131731377777586,0.0172096763589478,0.0217441167280515,0.0450891430614706,0.0144608577147446,0.0175235874283887,0.0105994592955013,0.0609187493643069,0.00730865954935259,0,0.0801900066326539,0.0689878335868968,0,0.17513127079693,0.142013140813696,0.241907476189388,0
