"","Astrocyte__Sham","Oligodendrocyte__Sham","Neuron__Sham","Microglia__Sham","Endothelial__Sham","Fibroblast__Sham","Neuron__MCAO_contra","Astrocyte__MCAO_contra","Oligodendrocyte__MCAO_contra","Microglia__MCAO_contra","Endothelial__MCAO_contra","Fibroblast__MCAO_contra","Fibroblast__MCAO_ipsi","Microglia__MCAO_ipsi","Neuron__MCAO_ipsi","Oligodendrocyte__MCAO_ipsi","Astrocyte__MCAO_ipsi","Endothelial__MCAO_ipsi"
"Timp3",0.133896907874914,0.0137939590852925,0.0263103396693256,0.0617865162309199,0.482425661777232,0.293823877879528,0.0483496693410629,0.328309860161894,0.00966111637467223,0.00978464826759529,0.585800297348972,0.565469255456171,0.623401799920549,0.0111078438285159,0.0821379851355908,0.0482182246052897,0.331554083576547,0.48615358734474
"Tnf",0,0,0,0,0,0,0,0,0,0,0,0,0.00368181127314582,0.0146517612284332,0.000499517209717655,0,0.000606352557067254,0
"Tnfrsf12a",0,0,0.0017068758190053,0,0.0625056426805576,0,0.00275251399392787,0.00521364226350564,0,0.00868405972714726,0.0808569741467876,0,0.0775900684792339,0.00733225803389417,0.00452083350020014,0.0343037681468299,0.0281788186775975,0.0337212836045593
"Tnfsf10",0,0,0.000778125396067943,0,0.0666709606222812,0.0323668662455811,0.000556457629828572,0.0055437496264788,0,0.0217946701552946,0.0140466970422436,0.00947562991323149,0.0195179825621364,0.00656904799415646,0.00153323611557835,0.00221649467378898,0,0.0565346804821864
"Top2a",0,0.0100672651436613,0.00249633247995795,0.0605685011423573,0,0.0143433738726388,0.00636036372480012,0.00736348941898698,0.00333022386234768,0.209434756550915,0,0.0127940791212106,0.221563360506502,0.32375972778226,0.0712371572950249,0.041981865181223,0.234384283561666,0.111806982827484
"Tspo",0.00540652819390171,0.000584323725357358,0.00029126420673029,0,0,0,0.000798503674151705,0.00105683581437215,0,0.0264483460682215,0.0108521858266485,0.0146621481790339,0.0303533755137785,0.0918484020265323,0.00458621836671164,0.00576537708407146,0.0462982055896811,0.0459309800884172
"Txnip",0.046459678634578,0.0566371258146193,0.00628287720018744,0.057667666366335,0.0939991503580239,0.132052517937099,0.00940462264343108,0.0668853768835492,0.0658563163712771,0.159864734497262,0.109608971769141,0.218256736107105,0.28982266032065,0.241872873027572,0.0215528638191247,0.0917762569930797,0.125302953769271,0.188311529027211
"Vdac2",0.168023432126546,0.11273595879184,0.147552939646251,0.108751099718364,0.153772100757298,0.0677705786247323,0.181436329271505,0.26153491928105,0.127928096748334,0.174104797829025,0.232802364369547,0.168088592898956,0.213857229861132,0.255612526995092,0.211654107818411,0.242010575931299,0.275201058369315,0.280621015963902
"Wee1",0.0471605792417854,0.0190697872315385,0.08060879112738,0,0.0714507862463232,0.0693597101855729,0.0917059241854976,0.0613821857185329,0.0204268481679893,0.0706625028070023,0.123339987306201,0.0719222623216524,0.136370221086472,0.094479736706289,0.10102935093542,0.0468715711826767,0.142740277137094,0.102137539530137
"Xiap",0.0748732344432705,0.0660540412997162,0.0757217763630603,0,0.291088822333072,0.102731691193746,0.089740491525187,0.0889601585580135,0.079896013439417,0.0859388152724689,0.225710027935412,0.10532595107467,0.156981632257043,0.161527919546179,0.0990770938960013,0.0909027204762419,0.135316931017469,0.320810497885601
