"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Hspb1",0.0235072340259006,0.0745073056573163,0.175866521861192,0.209130815039342,1.72765149819785,0.0616402030947746,0.0864528847353784,0.0333322395523796,0.0231090607611953,0.0443430510884137,0.0564978677673899,0.0351601494530607,0.12077733653625,0.219576911477612,0.139817422135387,2.19917652664013
"Hmgb1",1.54327665036477,2.09043165530899,2.51056081651207,2.06467989082113,3.74098918485778,2.08689586278979,2.25126760868349,1.74100897901553,1.80570466904642,2.33365205280274,2.13075397803407,2.41215398870176,2.68076482110065,3.4250110000092,4.18091063958984,5.06521038083551
"Cav1",0.0204741877756515,0.0341196985717353,0.237489986148774,0.134646177772497,1.43145613461825,0.0224199778761986,0.094565476311623,0.409880841635407,0.0259098455550321,0.0239696136736562,0.443556508206998,0.0393807315170136,0.0396739121074301,0.225463294629798,0.283659735720781,1.25070705809772
"Casp2",0.154111455798178,0.176113151290749,0.0953286226956783,0.115036400465005,0.134987741527658,0.175379610037632,0.110911057585643,0.202253356018927,0.159194565876038,0.0772484397621306,0.202647849433215,0.157506575428115,0.193616492540566,0.221501333096085,0,0.127569245640535
"Gsdme",1.0883385094724,0.161602907229028,0.318365809793199,2.879603864595,0.141942797164969,0.578810871820324,1.2427260312054,1.07130056029509,1.1960272423065,1.47967760999679,1.13661613259568,0.13849504927888,0.579599738967336,3.16896602724929,0.11692879948289,0.421435115393851
"Cycs",0.460138258572205,0.694403928633321,1.14658515612745,0.741934699902388,0.933159061912562,0.730890347897312,0.652213349230098,0.517771122251473,0.596261091807795,0.869447727496694,0.744969788408746,1.08584882158627,1.2357658808036,1.25169135851017,0.981317496642457,1.11492594243017
"Gadd45a",0.0305133781258582,0.051406502969192,0.0541613972567723,0.121464777974666,0.146943253456036,0.03960875983159,0.0413388319666276,0.0576759683285207,0.0371016527836795,0.0342965904179472,0.0450936190296129,0.0179127876887149,0,0.0321975003082376,0.126919386357243,0.0351740274478071
"Chmp3",0.789266244179679,0.86858346771739,0.98672101440046,0.83712203887827,1.35495309562753,1.15928367284286,0.72998050448987,0.652642014830381,0.803388670076721,0.716916860275147,0.598755943964246,0.879991526072065,1.54683076778071,1.11995242233636,1.12222861595297,1.54177591987247
"Retsat",0.0397366189925661,0.0402402995053642,0.0487769489581596,0.075229569077137,0.0747846856472035,0.0375455491327302,0.1517352838095,0.0346673764058928,0.0325752059094262,0.14128013871858,0.00973286590843288,0.0567852824318074,0.0142045106607183,0.174543170989266,0,0.048307714175612
"Pcbp1",0.289508308461033,0.526532782756406,0.613521852600255,0.489498640013715,0.694464811436602,0.633576525723166,0.509252206660576,0.360288411414115,0.297552127407875,0.530187294039127,0.405747543059973,0.540114580150182,0.732791306292489,0.498261130589339,0.977154087818284,0.758594818363635
