gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Axl,0.21818094,0.18140402,0.016326489,0.02760469,0.29305777,0.1803151,0.05139948,0.06700223,0.031247094,0.053233728,0.111572415,0.06747021,0.028884033,0.046103477,0.5568971,0.55658513
B3gnt5,0.004286988,0.011414094,0.0005713679,0.0016320635,0.0009572623,0.027636886,0.00044939152,0.0017760118,0.050506864,0.035859566,0.0006162817,0.003471944,0.0016480209,0.0065448037,0.005703319,0.0073562446
Gpr34,0.23615953,0.15363865,0.15538616,0.063733734,0.73406434,0.27305064,2.7339683,1.4034318,0.28699934,0.10668486,0.21896952,0.09116593,0.22609064,0.09405355,0.20862749,0.09359951
Spp1,0.02409459,2.2146087,0.020290744,2.0613272,0.108467005,3.4330428,0.03393281,2.3596895,0.01632075,2.2131479,0.28243598,2.0946262,0.022683907,1.9641862,0.16379985,2.2466843
Ggta1,0.039241716,0.081451274,0.07618298,0.08720129,0.14619398,0.099500276,0.1724726,0.12489259,0.06287198,0.086705856,0.021194575,0.020116197,0.017690862,0.019596985,0.09610755,0.14623545
Pfkm,0.453386,0.46787986,0.055669025,0.062152166,0.028489761,0.03553343,0.021245867,0.038457967,0.017714951,0.03736157,0.15604657,0.1604657,0.020976283,0.053047184,0.07998015,0.07954196
Tgfb1,0.10609601,0.1360542,0.3219557,0.330738,0.6509889,0.6965465,0.97786814,0.66225404,0.349615,0.27649015,0.10840437,0.11712386,0.113994986,0.093325496,0.22799383,0.32429555
P2ry12,0.4831056,0.19311866,0.32539427,0.07876205,0.7481969,0.21873093,3.5530941,1.6106584,0.4856145,0.13073786,0.40709135,0.09901586,0.44638857,0.112397455,0.40305525,0.10639931
H2-Aa,0.09032478,0.16670886,0.08453436,0.13747005,1.091216,0.7244559,0.10546637,0.1550692,0.50363564,0.3543206,0.1088143,0.1554255,0.105070665,0.17040038,0.08527386,0.12895161
Cd80,0.002427423,0.0022492118,0.0011383059,0.0014551257,0.04788394,0.06728371,0.045309618,0.01988869,0.012014447,0.04326503,0.0051934477,0.0038023782,0.0034578503,0.002584438,0.012711349,0.0142333815
