"Oligodendrocyte--Sham","Microglia--Sham","Neuron--Sham","Pericyte--Sham","Endothelial--Sham","Astrocyte--Sham","OPC--Sham","Fibroblast--Sham","Neuron--MCAO","Astrocyte--MCAO","Microglia--MCAO","Oligodendrocyte--MCAO","OPC--MCAO","Fibroblast--MCAO","Endothelial--MCAO","Pericyte--MCAO","gene","pathway"
0.00851177518276787,0.0330051855804861,0.0495502125959996,0,0.024204417734136,0.05639635233965,0.0169148593073191,0.0329686382934687,0.0567112973715673,0.236035047398031,0.286810566143526,0.0309295862256729,0.0569156227361806,0.0425070412126257,0.0164721780106391,0.0323982168678354,"Hgf","Apoptosis"
0.000711954051068518,0.0108394730248961,0.000425513899053864,0,0,0.00106038369173526,0,0,0.00357104327279886,0.00956976295329702,0.00511711923459737,0.00392615662567619,0.00425942105485838,0.0125427783991529,0.0205586061228471,0.21513292243384,"Il6","Apoptosis"
0.785169608799234,0.324878279679466,0.486481523837497,0.36807952896578,0.321653874533678,0.537351868394702,0.475719011748108,0.449307306604413,0.538808602635931,0.616254091034965,0.475402455106785,0.797072260559905,0.669946886742178,0.622140506340817,0.194469702489247,0.473500633179343,"Add1","Apoptosis"
0.00697797778143564,0.0486153983109482,0.0116835626538285,0.0287766723199149,0.0655134599869356,0.153152321621748,0.0109307756530177,0.0649411213453049,0.021343564589703,0.151174657703372,0.316440681708055,0.0349535692925078,0.0446442672586696,0.120407256782906,0.101090383314747,0.0736497847911704,"Cd38","Apoptosis"
0.110371674554123,0.0852033953781356,0.147960761725568,0.154443079162544,0.121511521601985,0.112447461413526,0.122042653376988,0.124693359375018,0.156234211908844,0.140001295698477,0.130556483799402,0.110463714642466,0.171077022333615,0.153394259832356,0.0548357650446978,0.159932868128551,"Coq2","Ferroptosis"
0.0485308716385748,0.0346262035482742,0.183270811268352,0.280928684895127,0.252168415560959,0.0707777043939929,0.0515594839446967,1.08515369293836,0.280478801458595,0.141647935913614,0.0648477527274075,0.090943774905349,0.0910433186263489,1.69882590827516,0.253881338133493,0.422562240344792,"Tgfbr3","Apoptosis"
0.056659655056149,0.0357286244813827,0.0675847232135551,0.085054619608225,0.0580840335570278,0.0889757627979346,0.079491539354272,0.100260633717557,0.112546059734227,0.119144655815046,0.091887225237443,0.098787879802112,0.13891162944127,0.150782923016225,0.0568308752007169,0.110603024257692,"Diablo","Apoptosis"
0.346055175439007,0.371728332445561,0.189320034639299,0.637889069768597,0.597661233428082,0.315923805744978,0.218450227034181,0.275639242747263,0.320774148461596,0.59213225579178,0.44818936774134,0.681388262682858,0.292675072315575,0.491145471983676,1.01283579652517,0.735643471922238,"Ubc","Necroptosis"
0.0916381195657026,0.0890131181359109,0.208772302465876,0.0551914232013523,0.233430053109919,0.202362579809169,0.133568508431412,0.485370696542067,0.240036789126368,0.462596135283226,0.431036679163567,0.305466303200607,0.222543145666088,0.923708802043172,0.267287176421054,0.434429360723467,"Por","Ferroptosis"
0.0624431389175406,0.065193565781851,0.0507191500896927,0.776538934320921,0.920422760418782,0.0979723510439055,0.0560557611523061,0.107990632896516,0.134183289313582,0.357654612020099,0.168834074154702,0.246080623401509,0.129787818121542,0.311012426183157,1.23474723170678,0.446632325299986,"Hspb1","Apoptosis"
